Pin,Pin Name,Bank,IO Type
H42,GND,NA,NA
H43,GND,NA,NA
H44,GND,NA,NA
H45,GND,NA,NA
H46,GND,NA,NA
H47,GND,NA,NA
H48,GND,NA,NA
H49,GND,NA,NA
H5,GND,NA,NA
H50,GND,NA,NA
H51,GND,NA,NA
H52,GND,NA,NA
H53,GND,NA,NA
H54,GTYP_TXP0_208,208,GTYP
H55,GTYP_TXN0_208,208,GTYP
H56,GND,NA,NA
H57,GND,NA,NA
H58,GND,NA,NA
H6,NC,NA,NA
H7,NC,NA,NA
H8,GND,NA,NA
H9,GND,NA,NA
J1,GND,NA,NA
J10,GND,NA,NA
J11,GTYP_AVTT_RN,NA,GTYP
J12,GND,NA,NA
J13,GTYP_REFCLKP0_112,112,GTYP
J14,GND,NA,NA
J15,GTYP_REFCLKP1_112,112,GTYP
J16,GND,NA,NA
J17,PMC_MIO20_500,500,PMCMIO
J18,PMC_MIO13_500,500,PMCMIO
J19,GND,NA,NA
J2,GND,NA,NA
J20,PMC_MIO5_500,500,PMCMIO
J21,PMC_MIO4_500,500,PMCMIO
J22,LPD_MIO23_502,502,LPDMIO
J23,LPD_MIO22_502,502,LPDMIO
J24,GND,NA,NA
J25,LPD_MIO14_502,502,LPDMIO
J26,LPD_MIO7_502,502,LPDMIO
J27,LPD_MIO6_502,502,LPDMIO
J28,RTC_PADO_503,503,NA
J29,GND,NA,NA
J3,GND,NA,NA
J30,MODE0_503,503,NA
J31,TDO_503,503,NA
J32,NC,NA,NA
J33,NC,NA,NA
J34,NC,NA,NA
J35,NC,NA,NA
J36,NC,NA,NA
J37,NC,NA,NA
J38,NC,NA,NA
J39,NC,NA,NA
J4,NC,NA,NA
J40,NC,NA,NA
J41,NC,NA,NA
J42,NC,NA,NA
J43,GND,NA,NA
J44,GND,NA,NA
J45,GTYP_AVCC_LN,NA,GTYP
J46,GND,NA,NA
J47,GND,NA,NA
J48,GTYP_AVTT_LN,NA,GTYP
J49,GND,NA,NA
J5,NC,NA,NA
J50,GND,NA,NA
J51,GND,NA,NA
J52,GTYP_TXP3_207,207,GTYP
J53,GTYP_TXN3_207,207,GTYP
J54,GND,NA,NA
J55,GND,NA,NA
J56,GND,NA,NA
J57,GTYP_RXP1_207,207,GTYP
J58,GTYP_RXN1_207,207,GTYP
J6,GND,NA,NA
J7,GND,NA,NA
J8,GND,NA,NA
J9,GND,NA,NA
K1,NC,NA,NA
K10,GTYP_REFCLKN1_111,111,GTYP
K11,GTYP_REFCLKP1_111,111,GTYP
K12,GND,NA,NA
K13,GTYP_AVCC_RN,NA,GTYP
K14,GND,NA,NA
K15,GND,NA,NA
K16,GND,NA,NA
K17,PMC_MIO19_500,500,PMCMIO
K18,PMC_MIO14_500,500,PMCMIO
K19,PMC_MIO12_500,500,PMCMIO
K2,NC,NA,NA
K20,PMC_MIO6_500,500,PMCMIO
K21,GND,NA,NA
K22,LPD_MIO24_502,502,LPDMIO
K23,LPD_MIO21_502,502,LPDMIO
K24,LPD_MIO15_502,502,LPDMIO
K25,LPD_MIO13_502,502,LPDMIO
K26,GND,NA,NA
K27,LPD_MIO5_502,502,LPDMIO
K28,RTC_PADI_503,503,NA
K29,MODE3_503,503,NA
K3,GND,NA,NA
K30,MODE1_503,503,NA
K31,GND,NA,NA
K32,NC,NA,NA
K33,NC,NA,NA
K34,NC,NA,NA
K35,NC,NA,NA
K36,GND,NA,NA
K37,NC,NA,NA
K38,NC,NA,NA
K39,NC,NA,NA
K4,GND,NA,NA
K40,NC,NA,NA
K41,GND,NA,NA
K42,NC,NA,NA
K43,GND,NA,NA
K44,GTYP_AVCC_LN,NA,GTYP
K45,GND,NA,NA
K46,GTYP_AVTT_LN,NA,GTYP
K47,GND,NA,NA
K48,GTYP_REFCLKP1_212,212,GTYP
K49,GTYP_REFCLKN1_212,212,GTYP
K5,GND,NA,NA
K50,GTYP_AVTT_LN,NA,GTYP
K51,GND,NA,NA
K52,GND,NA,NA
K53,GND,NA,NA
K54,GTYP_TXP2_207,207,GTYP
K55,GTYP_TXN2_207,207,GTYP
K56,GND,NA,NA
K57,GND,NA,NA
K58,GND,NA,NA
K6,NC,NA,NA
K7,NC,NA,NA
K8,GND,NA,NA
K9,GTYP_AVTT_RN,NA,GTYP
L1,GND,NA,NA
L10,GND,NA,NA
L11,GTYP_AVTT_RN,NA,GTYP
L12,GTYP_REFCLKN0_111,111,GTYP
L13,GTYP_REFCLKP0_111,111,GTYP
L14,GND,NA,NA
L15,PMC_MIO25_500,500,PMCMIO
L16,PMC_MIO21_500,500,PMCMIO
L17,PMC_MIO18_500,500,PMCMIO
L18,GND,NA,NA
L19,PMC_MIO11_500,500,PMCMIO
L2,GND,NA,NA
L20,PMC_MIO7_500,500,PMCMIO
L21,PMC_MIO3_500,500,PMCMIO
L22,LPD_MIO25_502,502,LPDMIO
L23,GND,NA,NA
L24,LPD_MIO16_502,502,LPDMIO
L25,LPD_MIO12_502,502,LPDMIO
L26,LPD_MIO8_502,502,LPDMIO
L27,LPD_MIO4_502,502,LPDMIO
L28,GND,NA,NA
L29,MODE2_503,503,NA
L3,GND,NA,NA
L30,DONE_503,503,NA
L31,TDI_503,503,NA
L32,NC,NA,NA
L33,GND,NA,NA
L34,NC,NA,NA
L35,NC,NA,NA
L36,NC,NA,NA
L37,NC,NA,NA
L38,GND,NA,NA
L39,NC,NA,NA
L4,NC,NA,NA
L40,NC,NA,NA
L41,NC,NA,NA
L42,NC,NA,NA
L43,GND,NA,NA
L44,GND,NA,NA
L45,GTYP_AVCC_LN,NA,GTYP
L46,GTYP_REFCLKP0_212,212,GTYP
L47,GTYP_REFCLKN0_212,212,GTYP
L48,GTYP_AVTT_LN,NA,GTYP
L49,GND,NA,NA
L5,NC,NA,NA
L50,GND,NA,NA
L51,GND,NA,NA
L52,GTYP_TXP1_207,207,GTYP
L53,GTYP_TXN1_207,207,GTYP
L54,GND,NA,NA
L55,GND,NA,NA
L56,GND,NA,NA
L57,GTYP_RXP0_207,207,GTYP
L58,GTYP_RXN0_207,207,GTYP
L6,GND,NA,NA
L7,GND,NA,NA
L8,GND,NA,NA
L9,GND,NA,NA
M1,NC,NA,NA
M10,GTYP_REFCLKN1_110,110,GTYP
M11,GTYP_REFCLKP1_110,110,GTYP
M12,GND,NA,NA
M13,GTYP_AVCC_RN,NA,GTYP
M14,GND,NA,NA
M15,GND,NA,NA
M16,PMC_MIO22_500,500,PMCMIO
M17,PMC_MIO17_500,500,PMCMIO
M18,PMC_MIO15_500,500,PMCMIO
M19,PMC_MIO10_500,500,PMCMIO
M2,NC,NA,NA
M20,GND,NA,NA
M21,PMC_MIO2_500,500,PMCMIO
M22,PMC_MIO0_500,500,PMCMIO
M23,LPD_MIO20_502,502,LPDMIO
M24,LPD_MIO17_502,502,LPDMIO
M25,GND,NA,NA
M26,LPD_MIO9_502,502,LPDMIO
M27,LPD_MIO3_502,502,LPDMIO
M28,LPD_MIO2_502,502,LPDMIO
M29,PUDC_B_503,503,NA
M3,GND,NA,NA
M30,GND,NA,NA
M31,TCK_503,503,NA
M32,NC,NA,NA
M33,NC,NA,NA
M34,NC,NA,NA
M35,GND,NA,NA
M36,NC,NA,NA
M37,NC,NA,NA
M38,NC,NA,NA
M39,NC,NA,NA
M4,GND,NA,NA
M40,GND,NA,NA
M41,NC,NA,NA
M42,NC,NA,NA
M43,GND,NA,NA
M44,GTYP_AVCC_LN,NA,GTYP
M45,GND,NA,NA
M46,GTYP_AVTT_LN,NA,GTYP
M47,GND,NA,NA
M48,GTYP_REFCLKP1_211,211,GTYP
M49,GTYP_REFCLKN1_211,211,GTYP
M5,GND,NA,NA
M50,GTYP_AVTT_LN,NA,GTYP
M51,GND,NA,NA
M52,GND,NA,NA
M53,GND,NA,NA
M54,GTYP_TXP0_207,207,GTYP
M55,GTYP_TXN0_207,207,GTYP
M56,GND,NA,NA
M57,GND,NA,NA
M58,GND,NA,NA
M6,NC,NA,NA
M7,NC,NA,NA
M8,GND,NA,NA
M9,GTYP_AVTT_RN,NA,GTYP
N1,GND,NA,NA
N10,GND,NA,NA
N11,GTYP_AVCC_RN,NA,GTYP
N12,GTYP_REFCLKN0_110,110,GTYP
N13,GTYP_REFCLKP0_110,110,GTYP
N14,GND,NA,NA
N15,PMC_MIO24_500,500,PMCMIO
N16,PMC_MIO23_500,500,PMCMIO
N17,GND,NA,NA
N18,PMC_MIO16_500,500,PMCMIO
N19,PMC_MIO9_500,500,PMCMIO
N2,GND,NA,NA
N20,PMC_MIO8_500,500,PMCMIO
N21,PMC_MIO1_500,500,PMCMIO
N22,GND,NA,NA
N23,LPD_MIO19_502,502,LPDMIO
N24,LPD_MIO18_502,502,LPDMIO
N25,LPD_MIO11_502,502,LPDMIO
N26,LPD_MIO10_502,502,LPDMIO
N27,GND,NA,NA
N28,LPD_MIO1_502,502,LPDMIO
N29,LPD_MIO0_502,502,LPDMIO
N3,GND,NA,NA
N30,ERROR_OUT_503,503,NA
N31,TMS_503,503,NA
N32,NC,NA,NA
N33,NC,NA,NA
N34,NC,NA,NA
N35,NC,NA,NA
N36,NC,NA,NA
N37,NC,NA,NA
N38,NC,NA,NA
N39,NC,NA,NA
N4,NC,NA,NA
N40,NC,NA,NA
N41,NC,NA,NA
N42,GND,NA,NA
N43,GND,NA,NA
N44,GND,NA,NA
N45,GTYP_AVCC_LN,NA,GTYP
N46,GTYP_REFCLKP0_211,211,GTYP
N47,GTYP_REFCLKN0_211,211,GTYP
N48,GTYP_AVTT_LN,NA,GTYP
N49,GND,NA,NA
N5,NC,NA,NA
N50,GND,NA,NA
N51,GND,NA,NA
N52,GND,NA,NA
N53,GND,NA,NA
N54,GND,NA,NA
N55,GND,NA,NA
N56,GND,NA,NA
N57,NC,NA,NA
N58,NC,NA,NA
N6,GND,NA,NA
N7,GND,NA,NA
N8,GND,NA,NA
N9,GND,NA,NA
P1,NC,NA,NA
P10,GTYP_REFCLKN1_109,109,GTYP
P11,GTYP_REFCLKP1_109,109,GTYP
P12,GND,NA,NA
P13,GTYP_AVCCAUX_RN,NA,GTYP
P14,GND,NA,NA
P15,PMC_MIO26_501,501,PMCMIO
P16,PMC_MIO27_501,501,PMCMIO
P17,PMC_MIO28_501,501,PMCMIO
P18,RSVD_VCCINT_GT,NA,NA
P19,GND,NA,NA
P2,NC,NA,NA
P20,VCC_SOC,NA,NA
P21,VCC_SOC,NA,NA
P22,GND,NA,NA
P23,VCC_SOC,NA,NA
P24,VCC_SOC,NA,NA
P25,GND,NA,NA
P26,VCC_SOC,NA,NA
P27,VCC_SOC,NA,NA
P28,GND,NA,NA
P29,VCC_SOC,NA,NA
P3,GND,NA,NA
P30,VCC_SOC,NA,NA
P31,GND,NA,NA
P32,VCC_SOC,NA,NA
P33,VCC_SOC,NA,NA
P34,GND,NA,NA
P35,VCC_SOC,NA,NA
P36,VCC_SOC,NA,NA
P37,GND,NA,NA
P38,VCC_SOC,NA,NA
P39,VCC_SOC,NA,NA
P4,GND,NA,NA
P40,GND,NA,NA
P41,VCC_SOC,NA,NA
P42,VCCINT_GT_L,NA,NA
P43,GND,NA,NA
P44,GTYP_AVCC_LN,NA,GTYP
P45,GND,NA,NA
P46,GTYP_AVTT_LN,NA,GTYP
P47,GND,NA,NA
P48,GTYP_REFCLKP1_210,210,GTYP
P49,GTYP_REFCLKN1_210,210,GTYP
P5,GND,NA,NA
P50,GTYP_AVTT_LN,NA,GTYP
P51,GND,NA,NA
P52,GND,NA,NA
P53,GND,NA,NA
P54,GND,NA,NA
P55,NC,NA,NA
P56,NC,NA,NA
P57,GND,NA,NA
P58,GND,NA,NA
P6,NC,NA,NA
P7,NC,NA,NA
P8,GND,NA,NA
P9,GTYP_AVTT_RN,NA,GTYP
R1,GND,NA,NA
R10,GND,NA,NA
R11,GTYP_AVCC_RN,NA,GTYP
R12,GTYP_AVTTRCAL_RN,NA,GTYP
R13,GTYP_RREF_RN,NA,GTYP
R14,GND,NA,NA
R15,PMC_MIO30_501,501,PMCMIO
R16,GND,NA,NA
R17,PMC_MIO29_501,501,PMCMIO
R18,GND,NA,NA
R19,VCCINT,NA,NA
R2,GND,NA,NA
R20,VCCINT,NA,NA
R21,GND,NA,NA
R22,VCCINT,NA,NA
R23,VCCINT,NA,NA
R24,GND,NA,NA
R25,VCCINT,NA,NA
R26,VCCINT,NA,NA
R27,GND,NA,NA
R28,VCCINT,NA,NA
R29,VCCINT,NA,NA
R3,NC,NA,NA
R30,GND,NA,NA
R31,VCCINT,NA,NA
R32,VCCINT,NA,NA
R33,GND,NA,NA
R34,VCCINT,NA,NA
R35,VCCINT,NA,NA
R36,GND,NA,NA
R37,VCCINT,NA,NA
R38,VCCINT,NA,NA
R39,GND,NA,NA
R4,NC,NA,NA
R40,VCCINT,NA,NA
R41,VCCINT,NA,NA
R42,GND,NA,NA
R43,GND,NA,NA
R44,GND,NA,NA
R45,GTYP_AVCC_LN,NA,GTYP
R46,GTYP_REFCLKP0_210,210,GTYP
R47,GTYP_REFCLKN0_210,210,GTYP
R48,GTYP_AVTT_LN,NA,GTYP
R49,GND,NA,NA
R5,GND,NA,NA
R50,GND,NA,NA
R51,GND,NA,NA
R52,NC,NA,NA
R53,NC,NA,NA
R54,GND,NA,NA
R55,GND,NA,NA
R56,GND,NA,NA
R57,NC,NA,NA
R58,NC,NA,NA
R6,GND,NA,NA
R7,GND,NA,NA
R8,GND,NA,NA
R9,GND,NA,NA
T1,NC,NA,NA
T10,GTYP_REFCLKN0_109,109,GTYP
T11,GTYP_REFCLKP0_109,109,GTYP
T12,GND,NA,NA
T13,GTYP_AVCCAUX_RN,NA,GTYP
T14,GND,NA,NA
T15,PMC_MIO31_501,501,PMCMIO
T16,PMC_MIO32_501,501,PMCMIO
T17,PMC_MIO33_501,501,PMCMIO
T18,RSVD_VCCINT_GT,NA,NA
T19,VCCINT,NA,NA
T2,NC,NA,NA
T20,GND,NA,NA
T21,VCCINT,NA,NA
T22,VCCINT,NA,NA
T23,GND,NA,NA
T24,VCCINT,NA,NA
T25,VCCINT,NA,NA
T26,GND,NA,NA
T27,VCCINT,NA,NA
T28,VCCINT,NA,NA
T29,GND,NA,NA
T3,GND,NA,NA
T30,VCCINT,NA,NA
T31,VCCINT,NA,NA
T32,GND,NA,NA
T33,VCCINT,NA,NA
T34,VCCINT,NA,NA
T35,GND,NA,NA
T36,VCCINT,NA,NA
T37,VCCINT,NA,NA
T38,GND,NA,NA
T39,VCCINT,NA,NA
T4,GND,NA,NA
T40,VCCINT,NA,NA
T41,GND,NA,NA
T42,VCCINT_GT_L,NA,NA
T43,GND,NA,NA
T44,GTYP_AVCCAUX_LN,NA,GTYP
T45,GND,NA,NA
T46,GTYP_AVTT_LN,NA,GTYP
T47,GND,NA,NA
T48,GTYP_REFCLKP1_209,209,GTYP
T49,GTYP_REFCLKN1_209,209,GTYP
T5,GND,NA,NA
T50,GTYP_AVTT_LN,NA,GTYP
T51,GND,NA,NA
T52,GND,NA,NA
T53,GND,NA,NA
T54,GND,NA,NA
T55,NC,NA,NA
T56,NC,NA,NA
T57,GND,NA,NA
T58,GND,NA,NA
T6,NC,NA,NA
T7,NC,NA,NA
T8,GND,NA,NA
T9,GTYP_AVTT_RN,NA,GTYP
U1,GND,NA,NA
U10,GND,NA,NA
U11,GND,NA,NA
U12,NC,NA,NA
U13,NC,NA,NA
U14,GND,NA,NA
U15,GND,NA,NA
U16,PMC_MIO35_501,501,PMCMIO
U17,PMC_MIO34_501,501,PMCMIO
U18,GND,NA,NA
U19,VCCINT,NA,NA
U2,GND,NA,NA
U20,GND,NA,NA
U21,VCCINT,NA,NA
U22,GND,NA,NA
U23,VCCINT,NA,NA
U24,GND,NA,NA
U25,VCCINT,NA,NA
U26,GND,NA,NA
U27,VCCINT,NA,NA
U28,GND,NA,NA
U29,VCCINT,NA,NA
U3,NC,NA,NA
U30,GND,NA,NA
U31,VCCINT,NA,NA
U32,GND,NA,NA
U33,VCCINT,NA,NA
U34,GND,NA,NA
U35,VCCINT,NA,NA
U36,GND,NA,NA
U37,VCCINT,NA,NA
U38,GND,NA,NA
U39,VCCINT,NA,NA
U4,NC,NA,NA
U40,GND,NA,NA
U41,VCCINT,NA,NA
U42,GND,NA,NA
U43,GND,NA,NA
U44,GND,NA,NA
U45,GTYP_AVCC_LN,NA,GTYP
U46,GTYP_REFCLKP0_209,209,GTYP
U47,GTYP_REFCLKN0_209,209,GTYP
U48,GTYP_AVTT_LN,NA,GTYP
U49,GND,NA,NA
U5,GND,NA,NA
U50,GND,NA,NA
U51,GND,NA,NA
U52,NC,NA,NA
U53,NC,NA,NA
U54,GND,NA,NA
U55,GND,NA,NA
U56,GND,NA,NA
U57,NC,NA,NA
U58,NC,NA,NA
U6,GND,NA,NA
U7,GND,NA,NA
U8,GND,NA,NA
U9,GND,NA,NA
V1,NC,NA,NA
V10,NC,NA,NA
V11,NC,NA,NA
V12,GND,NA,NA
V13,GND,NA,NA
V14,GND,NA,NA
V15,PMC_MIO36_501,501,PMCMIO
V16,PMC_MIO37_501,501,PMCMIO
V17,GND,NA,NA
V18,RSVD_VCCINT_GT,NA,NA
V19,GND,NA,NA
V2,NC,NA,NA
V20,VCCINT,NA,NA
V21,GND,NA,NA
V22,VCCINT,NA,NA
V23,GND,NA,NA
V24,VCCINT,NA,NA
V25,GND,NA,NA
V26,VCCINT,NA,NA
V27,GND,NA,NA
V28,VCCINT,NA,NA
V29,GND,NA,NA
V3,GND,NA,NA
V30,VCCINT,NA,NA
V31,GND,NA,NA
V32,VCCINT,NA,NA
V33,GND,NA,NA
V34,VCCINT,NA,NA
V35,GND,NA,NA
V36,VCCINT,NA,NA
V37,GND,NA,NA
V38,VCCINT,NA,NA
V39,GND,NA,NA
V4,GND,NA,NA
V40,VCCINT,NA,NA
V41,GND,NA,NA
V42,VCCINT_GT_L,NA,NA
V43,GND,NA,NA
V44,GTYP_AVCCAUX_LN,NA,GTYP
V45,GND,NA,NA
V46,GND,NA,NA
V47,GND,NA,NA
V48,GTYP_REFCLKP1_208,208,GTYP
V49,GTYP_REFCLKN1_208,208,GTYP
V5,GND,NA,NA
V50,GTYP_AVTT_LN,NA,GTYP
V51,GND,NA,NA
V52,GND,NA,NA
V53,GND,NA,NA
V54,NC,NA,NA
V55,NC,NA,NA
V56,GND,NA,NA
V57,GND,NA,NA
V58,GND,NA,NA
V6,NC,NA,NA
V7,NC,NA,NA
V8,GND,NA,NA
V9,GTYP_AVTT_RN,NA,GTYP
W1,GND,NA,NA
W10,GND,NA,NA
W11,GND,NA,NA
W12,NC,NA,NA
W13,NC,NA,NA
W14,GND,NA,NA
W15,PMC_MIO40_501,501,PMCMIO
W16,PMC_MIO39_501,501,PMCMIO
W17,PMC_MIO38_501,501,PMCMIO
W18,GND,NA,NA
W19,VCCINT,NA,NA
W2,GND,NA,NA
W20,GND,NA,NA
W21,VCCINT,NA,NA
W22,GND,NA,NA
W23,VCCINT,NA,NA
W24,GND,NA,NA
W3,NC,NA,NA
W35,VCCINT,NA,NA
W36,GND,NA,NA
W37,VCCINT,NA,NA
W38,GND,NA,NA
W39,VCCINT,NA,NA
W4,NC,NA,NA
W40,GND,NA,NA
W41,VCCINT,NA,NA
W42,GND,NA,NA
W43,GND,NA,NA
W44,GTYP_RREF_LN,NA,GTYP
W45,GTYP_AVTTRCAL_LN,NA,GTYP
W46,GTYP_AVTT_LN,NA,GTYP
W47,GND,NA,NA
W48,GND,NA,NA
W49,GND,NA,NA
W5,GND,NA,NA
W50,GND,NA,NA
W51,GND,NA,NA
W52,NC,NA,NA
W53,NC,NA,NA
W54,GND,NA,NA
W55,GND,NA,NA
W56,GND,NA,NA
W57,NC,NA,NA
W58,NC,NA,NA
W6,GND,NA,NA
W7,GND,NA,NA
W8,GND,NA,NA
W9,GND,NA,NA
Y1,NC,NA,NA
Y10,NC,NA,NA
Y11,NC,NA,NA
Y12,GND,NA,NA
Y13,NC,NA,NA
Y14,GND,NA,NA
Y15,PMC_MIO41_501,501,PMCMIO
Y16,GND,NA,NA
Y17,PMC_MIO42_501,501,PMCMIO
Y18,RSVD_VCCINT_GT,NA,NA
Y19,GND,NA,NA
Y2,NC,NA,NA
Y20,VCCINT,NA,NA
Y21,GND,NA,NA
Y22,VCCINT,NA,NA
Y23,GND,NA,NA
Y24,VCCINT,NA,NA
Y3,GND,NA,NA
Y35,GND,NA,NA
Y36,VCCINT,NA,NA
Y37,GND,NA,NA
Y38,VCCINT,NA,NA
Y39,GND,NA,NA
Y4,GND,NA,NA
Y40,VCCINT,NA,NA
Y41,GND,NA,NA
Y42,VCCINT_GT_L,NA,NA
Y43,GND,NA,NA
Y44,GTYP_AVCC_LN,NA,GTYP
Y45,GND,NA,NA
Y46,GTYP_REFCLKP0_208,208,GTYP
Y47,GTYP_REFCLKN0_208,208,GTYP
Y48,GND,NA,NA
Y49,NC,NA,NA
Y5,GND,NA,NA
Y50,NC,NA,NA
Y51,GND,NA,NA
Y52,GND,NA,NA
Y53,GND,NA,NA
Y54,NC,NA,NA
Y55,NC,NA,NA
Y56,GND,NA,NA
Y57,GND,NA,NA
Y58,GND,NA,NA
Y6,NC,NA,NA
Y7,NC,NA,NA
Y8,GND,NA,NA
Y9,GND,NA,NA
